?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/PATO_0002383>	"A waxiness which is relatively low."	
<http://purl.obolibrary.org/obo/GO_0003156>	"Any process that modulates the rate, frequency or extent of animal organ formation. Organ formation is the process pertaining to the initial formation of an organ from unspecified parts. The process begins with the specific processes that contribute to the appearance of the discrete structure, such as inductive events, and ends when the structural rudiment of the organ is recognizable, such as a condensation of mesenchymal cells into the organ rudiment."	
<http://purl.obolibrary.org/obo/PATO_0000770>	"A coordination quality of inhering in a bearer by virtue of the bearer's lacking skillful and effective interaction of movement."	
<http://purl.obolibrary.org/obo/UBERON_0005337>	"A ventricular outflow tract is a portion of either the left ventricle or right ventricle of the heart through which blood passes in order to enter the great arteries. The right ventricular outflow tract (RVOT) is an infundibular extension of the ventricular cavity which connects to the pulmonary artery. The left ventricular outflow tract (LVOT), which connects to the aorta, is nearly indistinguishable from the rest of the ventricle[WP]."	"FMA:13225 XAO:0004140 Wikipedia:Ventricular_outflow_tract"
<http://purl.obolibrary.org/obo/UBERON_0003684>	"The part of the ventral body cavity that is within the abdomen proper (excluding the pelvic cavity)."	"NCIT:C12664 MESH:D034841 GAID:17 EFO:0000213 Wikipedia:Abdominal_cavity FMA:12266 SCTID:361294009 MA:0003057 galen:AbdominalCavity EMAPA:36505"
<http://purl.obolibrary.org/obo/UBERON_0001201>	"The outermost layer of the stomach wall, consisting of layers of connective tissue continuous with the peritoneum."	"FMA:14914 EMAPA:35822 MA:0001626 SCTID:1353004 NCIT:C32662"
<http://purl.obolibrary.org/obo/PCO_0000000>	"A material entity that consists of two or more organisms, viruses, or viroids."@en	
<http://purl.obolibrary.org/obo/PATO_0002461>	"To bend or hang downwards due to loss of water"	
<http://purl.obolibrary.org/obo/PATO_0002362>	"A tendency which is relatively low."	
<http://purl.obolibrary.org/obo/UBERON_0015808>	"An epithelium that is part of a camera-type eye."	"EMAPA:35957 MA:0003162"
<http://purl.obolibrary.org/obo/PATO_0000496>		
<http://purl.obolibrary.org/obo/PATO_0000363>		
<http://purl.obolibrary.org/obo/GO_0010482>	"Any process that modulates the frequency, rate or extent of the physical partitioning and separation of an epidermal cell into daughter cells. An epidermal cell is any of the cells that make up the epidermis."	
<http://purl.obolibrary.org/obo/GO_0003361>	"The process in which a relatively unspecialized cell acquires specialized features of an noradrenergic neuron that is part of the brainstem."	
<http://purl.obolibrary.org/obo/UBERON_0005389>	"A transparent structure that is part of a visual sense organ, the function of which is to direct or focus light onto a photoreceptor array."	
<http://purl.obolibrary.org/obo/UBERON_0010032>	"The portion of the tongue in front of the terminal sulcus. At the apex, thin and narrow, it is directed forward against the lingual surfaces of the lower incisor teeth. It is derived primarily from the first pharyngeal arch."	"FMA:229084 NCIT:C32130 Wikipedia:Anterior_tongue"
<http://purl.obolibrary.org/obo/PATO_0000230>		
<http://purl.obolibrary.org/obo/GO_0030307>	"Any process that activates or increases the frequency, rate, extent or direction of cell growth."	
<http://purl.obolibrary.org/obo/CHEBI_37962>	"Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter."	
<http://purl.obolibrary.org/obo/UBERON_0007842>	"Bone element that arises as a result of intramembranous ossification."	"TAO:0001645 AEO:0000085 EHDAA2:0003085 ZFA:0001636 XAO:0004014 VSAO:0000023"
<http://purl.obolibrary.org/obo/GO_0030902>	"The process whose specific outcome is the progression of the hindbrain over time, from its formation to the mature structure. The hindbrain is the posterior of the three primary divisions of the developing chordate brain, or the corresponding part of the adult brain (in vertebrates, includes the cerebellum, pons, and medulla oblongata and controls the autonomic functions and equilibrium)."	
<http://purl.obolibrary.org/obo/CL_4023092>	"A pyramidal neuron which has an apical tree which is oriented towards the white matter."	
<http://purl.obolibrary.org/obo/UBERON_0000481>	"Anatomical structure that has as its parts two or more portions of tissue of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona-fide boundaries from other distinct structural units of different types."	"BILA:0000055 VHOG:0001762 TGMA:0001847 AAO:0010048 ZFA:0001488 HAO:0000055 TAO:0001488 AEO:0000055 CARO:0000055 XAO:0003037 EHDAA2:0003055"
<http://purl.obolibrary.org/obo/PATO_0001636>	"A necessity quality (continuant) inhering in a bearer by virtue of the bearer's being non-essential or dispensable."	
<http://purl.obolibrary.org/obo/PATO_0000039>	"A physical quality inhering in a bearer by virtue of the bearer's orientation in space."	
<http://purl.obolibrary.org/obo/PATO_0000364>		
<http://purl.obolibrary.org/obo/GO_0032940>	"The controlled release of a substance by a cell."	"Wikipedia:Secretion"
<http://purl.obolibrary.org/obo/PATO_0000231>		
<http://purl.obolibrary.org/obo/PATO_0001313>	"A variability quality inhering in a bearer by virtue of the bearer's lacking or not exhibiting variation of temperature."	
<http://purl.obolibrary.org/obo/GO_1903224>	"Any process that modulates the frequency, rate or extent of endodermal cell differentiation."	
<http://purl.obolibrary.org/obo/PATO_0000497>		
<http://purl.obolibrary.org/obo/PATO_0002263>	"A quality inhering in a protein or a molecule by virtue of the bearer's lacking a phosphate (PO4) group."	
<http://purl.obolibrary.org/obo/PATO_0001776>	"A flexibility which is relatively high."	
<http://purl.obolibrary.org/obo/UBERON_0000930>	"Anterior part of the embryonic digestive tract that develops into a mouth. The stomodeum includes as parts an invagination of the ectoderm and the stomodeal cavity."	"EHDAA2:0001929 Wikipedia:Stomodeum FMA:295846 EMAPA:16263 TGMA:0000135 TAO:0001290 BTO:0004224 NCIT:C34306 ZFA:0001290 XAO:0000269"
<http://purl.obolibrary.org/obo/GO_0048754>	"The process in which the anatomical structures of branches in an epithelial tube are generated and organized. A tube is a long hollow cylinder."	
<http://purl.obolibrary.org/obo/PATO_0001245>	"A color consisting of brown hue and low brightness."	
<http://purl.obolibrary.org/obo/UBERON_0004815>	"An epithelium that is part of a lower respiratory tract [Automatically generated definition]."	"MA:0001481"
<http://purl.obolibrary.org/obo/GO_0048599>	"The process whose specific outcome is the progression of an oocyte over time, from initial commitment of the cell to its specific fate, to the fully functional differentiated cell."	
<http://purl.obolibrary.org/obo/PATO_0000610>	"A morphological quality inhering in a bearer by virtue of the bearer's affording unobstructed passage or view."	
<http://purl.obolibrary.org/obo/GO_2000380>	"Any process that modulates the frequency, rate or extent of mesoderm development."	
<http://purl.obolibrary.org/obo/PATO_0070029>	"A neuron projection quality that is a characteristic of neurons with soma in the cerebral cortex and projections to the thalamus."	"ILX:0770102"
<http://purl.obolibrary.org/obo/PATO_0000236>		
<http://purl.obolibrary.org/obo/UBERON_0001975>	"A serous membrane that is part of a esophagus [Automatically generated definition]."	"EMAPA:35322 FMA:63057 MA:0001571"
<http://purl.obolibrary.org/obo/PATO_0000103>		
<http://purl.obolibrary.org/obo/PATO_0001632>	"A spatial quality inhering in a bearer by virtue of the bearer's being located toward the front of an organism relative to another entity."	
<http://purl.obolibrary.org/obo/PATO_0000369>		
<http://purl.obolibrary.org/obo/PATO_0045012>	"A coordination which is relatively normal or average."	
<http://purl.obolibrary.org/obo/UBERON_0011820>	"An anatomical junction that divides and overlaps with and atrium and a ventricle in the heart."	"EHDAA2:0004149 FMA:85125"
<http://purl.obolibrary.org/obo/UBERON_0005953>	"Anteriosuperior, smooth-walled portion of the cavity of the right ventricle, beginning at the supraventricular crest and terminating in the pulmonary trunk."	"SCTID:244379003 NCIT:C61368 FMA:7216"
<http://purl.obolibrary.org/obo/CHEBI_45696>		
<http://purl.obolibrary.org/obo/PATO_0070012>	"A cell morphology that inheres in neurons which have two clusters of primary dendrites that originate directly and extend from opposite ends of the soma, and axons that form a plexus which spreads widely. Compared to the narrow vertical axonal projection of bipolar morphology, and the 'horse-tail' axonal cluster of double boquet cells, bitufted morphology has wide horizontal axonal spans, and branching that occur close to the soma. Their vertical projection is also less extensive and crosses mostly to neighboring layers."	"ilxtr:BituftedPhenotype"
<http://purl.obolibrary.org/obo/UBERON_0007376>	"The epidermis is the entire outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species[GO]."	"BSA:0000073 HAO:0000298 BTO:0000313 WBbt:0005733 TADS:0000109 Wikipedia:Epidermis_(zoology)"
<http://purl.obolibrary.org/obo/GO_0002318>	"The process in which a precursor cell type acquires the specialized features of a myeloid progenitor cell. Myeloid progenitor cells include progenitor cells for any of the myeloid lineages."	
<http://purl.obolibrary.org/obo/PATO_0001568>		
<http://purl.obolibrary.org/obo/GO_1904777>	"Any process that stops, prevents or reduces the frequency, rate or extent of protein localization to cell cortex."	
<http://purl.obolibrary.org/obo/GO_1900180>	"Any process that modulates the frequency, rate or extent of protein localization to nucleus."	
<http://purl.obolibrary.org/obo/CHEBI_36914>		
<http://purl.obolibrary.org/obo/PATO_0000051>	"A quality of a single physical entity inhering in the bearer by virtue of the bearer's size or shape or structure."	
<http://purl.obolibrary.org/obo/PATO_0002236>	"Shape quality inhering in a bearer by virtue of the bearer's being shaped like a wing."	
<http://purl.obolibrary.org/obo/GO_1901652>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."	
<http://purl.obolibrary.org/obo/GO_0003220>	"The process in which the anatomical structures of left cardiac ventricle muscle are generated and organized."	
<http://purl.obolibrary.org/obo/NCBITaxon_7742>		"GC_ID:1"
<http://purl.obolibrary.org/obo/PATO_0002070>	"A molecular quality that arises from the molecular attraction exerted between two atoms or compounds."	
<http://purl.obolibrary.org/obo/GO_1905127>	"Any process that stops, prevents or reduces the frequency, rate or extent of axo-dendritic protein transport."	
<http://purl.obolibrary.org/obo/PATO_0002010>	"A texture quality inhering in a bearer by virtue of the bearer's bing full of small openings or gaps."	
<http://purl.obolibrary.org/obo/UBERON_0004802>	"The pseudostratified ciliated epithelium that lines much of the conducting portion of the airway, including part of the nasal cavity and larynx, the trachea, and bronchi."	"EMAPA:32827 BTO:0000419 SCTID:321764001 CALOHA:TS-0023 MA:0001480"
<http://purl.obolibrary.org/obo/CL_0000740>	"The set of neurons that receives neural inputs via bipolar, horizontal and amacrine cells. The axons of these cells make up the optic nerve."	"BTO:0001800 FMA:67765 MESH:D012165"
